text,arrayWords,arrayFeatures,arrayScaledFeatures
"There seemed to be no use in waiting by the little door, so she went","[there, seemed, to, be, no, use, in, waiting, by, the, little, door,, so, she, went]","[68.0,15.0]","[0.8615553447046519,1.2204272491184758]"
"back to the table, half hoping she might find another key on it, or at","[back, to, the, table,, half, hoping, she, might, find, another, key, on, it,, or, at]","[70.0,15.0]","[0.9294415341483986,1.2204272491184758]"
any rate a book of rules for shutting people up like telescopes: this,"[any, rate, a, book, of, rules, for, shutting, people, up, like, telescopes:, this]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"time she found a little bottle on it, (“which certainly was not here","[time, she, found, a, little, bottle, on, it,, (“which, certainly, was, not, here]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
"before,” said Alice,) and round the neck of the bottle was a paper","[before,”, said, alice,), and, round, the, neck, of, the, bottle, was, a, paper]","[66.0,13.0]","[0.7936691552609052,0.8564860118892829]"
"label, with the words “DRINK ME,” beautifully printed on it in large","[label,, with, the, words, “drink, me,”, beautifully, printed, on, it, in, large]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
letters.,[letters.],"[8.0,1.0]","[-1.1750303386077496,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"It was all very well to say “Drink me,” but the wise little Alice was","[it, was, all, very, well, to, say, “drink, me,”, but, the, wise, little, alice, was]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
"not going to do _that_ in a hurry. “No, I’ll look first,” she said,","[not, going, to, do, _that_, in, a, hurry., “no,, i’ll, look, first,”, she, said,]","[67.0,14.0]","[0.8276122499827785,1.0384566305038794]"
“and see whether it’s marked ‘_poison_’ or not”; for she had read,"[“and, see, whether, it’s, marked, ‘_poison_’, or, not”;, for, she, had, read]","[65.0,12.0]","[0.7597260605390318,0.6745153932746865]"
"several nice little histories about children who had got burnt, and","[several, nice, little, histories, about, children, who, had, got, burnt,, and]","[67.0,11.0]","[0.8276122499827785,0.49254477466009]"
"eaten up by wild beasts and other unpleasant things, all because they","[eaten, up, by, wild, beasts, and, other, unpleasant, things,, all, because, they]","[69.0,12.0]","[0.8954984394265252,0.6745153932746865]"
_would_ not remember the simple rules their friends had taught them:,"[_would_, not, remember, the, simple, rules, their, friends, had, taught, them:]","[68.0,11.0]","[0.8615553447046519,0.49254477466009]"
"such as, that a red-hot poker will burn you if you hold it too long;","[such, as,, that, a, red-hot, poker, will, burn, you, if, you, hold, it, too, long;]","[68.0,15.0]","[0.8615553447046519,1.2204272491184758]"
"and that if you cut your finger _very_ deeply with a knife, it usually","[and, that, if, you, cut, your, finger, _very_, deeply, with, a, knife,, it, usually]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"bleeds; and she had never forgotten that, if you drink much from a","[bleeds;, and, she, had, never, forgotten, that,, if, you, drink, much, from, a]","[66.0,13.0]","[0.7936691552609052,0.8564860118892829]"
"bottle marked “poison,” it is almost certain to disagree with you,","[bottle, marked, “poison,”, it, is, almost, certain, to, disagree, with, you,]","[66.0,11.0]","[0.7936691552609052,0.49254477466009]"
sooner or later.,"[sooner, or, later.]","[16.0,3.0]","[-0.9034855808327629,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"However, this bottle was _not_ marked “poison,” so Alice ventured to","[however,, this, bottle, was, _not_, marked, “poison,”, so, alice, ventured, to]","[68.0,11.0]","[0.8615553447046519,0.49254477466009]"
"taste it, and finding it very nice, (it had, in fact, a sort of mixed","[taste, it,, and, finding, it, very, nice,, (it, had,, in, fact,, a, sort, of, mixed]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
"flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and","[flavour, of, cherry-tart,, custard,, pine-apple,, roast, turkey,, toffee,, and]","[70.0,9.0]","[0.9294415341483986,0.1286035374308971]"
"hot buttered toast,) she very soon finished it off.","[hot, buttered, toast,), she, very, soon, finished, it, off.]","[51.0,9.0]","[0.28452273443280474,0.1286035374308971]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
*      *      *      *      *      *      *,"[*, , , , , , *, , , , , , *, , , , , , *, , , , , , *, , , , , , *, , , , , , *]","[43.0,37.0]","[0.012977976657817879,5.223780858639596]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
*      *      *      *      *      *,"[, , , , *, , , , , , *, , , , , , *, , , , , , *, , , , , , *, , , , , , *]","[40.0,35.0]","[-0.08885130750780221,4.859839621410404]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
*      *      *      *      *      *      *,"[*, , , , , , *, , , , , , *, , , , , , *, , , , , , *, , , , , , *, , , , , , *]","[43.0,37.0]","[0.012977976657817879,5.223780858639596]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“What a curious feeling!” said Alice; “I must be shutting up like a,"[“what, a, curious, feeling!”, said, alice;, “i, must, be, shutting, up, like, a]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
telescope.”,[telescope.”],"[11.0,1.0]","[-1.0732010544421295,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"And so it was indeed: she was now only ten inches high, and her face","[and, so, it, was, indeed:, she, was, now, only, ten, inches, high,, and, her, face]","[68.0,15.0]","[0.8615553447046519,1.2204272491184758]"
brightened up at the thought that she was now the right size for going,"[brightened, up, at, the, thought, that, she, was, now, the, right, size, for, going]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"through the little door into that lovely garden. First, however, she","[through, the, little, door, into, that, lovely, garden., first,, however,, she]","[68.0,11.0]","[0.8615553447046519,0.49254477466009]"
waited for a few minutes to see if she was going to shrink any further:,"[waited, for, a, few, minutes, to, see, if, she, was, going, to, shrink, any, further:]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
"she felt a little nervous about this; “for it might end, you know,”","[she, felt, a, little, nervous, about, this;, “for, it, might, end,, you, know,”]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
"said Alice to herself, “in my going out altogether, like a candle. I","[said, alice, to, herself,, “in, my, going, out, altogether,, like, a, candle., i]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
wonder what I should be like then?” And she tried to fancy what the,"[wonder, what, i, should, be, like, then?”, and, she, tried, to, fancy, what, the]","[67.0,14.0]","[0.8276122499827785,1.0384566305038794]"
"flame of a candle is like after the candle is blown out, for she could","[flame, of, a, candle, is, like, after, the, candle, is, blown, out,, for, she, could]","[70.0,15.0]","[0.9294415341483986,1.2204272491184758]"
not remember ever having seen such a thing.,"[not, remember, ever, having, seen, such, a, thing.]","[43.0,8.0]","[0.012977976657817879,-0.053367081183699316]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"After a while, finding that nothing more happened, she decided on going","[after, a, while,, finding, that, nothing, more, happened,, she, decided, on, going]","[71.0,12.0]","[0.963384628870272,0.6745153932746865]"
"into the garden at once; but, alas for poor Alice! when she got to the","[into, the, garden, at, once;, but,, alas, for, poor, alice!, when, she, got, to, the]","[70.0,15.0]","[0.9294415341483986,1.2204272491184758]"
"door, she found she had forgotten the little golden key, and when she","[door,, she, found, she, had, forgotten, the, little, golden, key,, and, when, she]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"went back to the table for it, she found she could not possibly reach","[went, back, to, the, table, for, it,, she, found, she, could, not, possibly, reach]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
"it: she could see it quite plainly through the glass, and she tried her","[it:, she, could, see, it, quite, plainly, through, the, glass,, and, she, tried, her]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"best to climb up one of the legs of the table, but it was too slippery;","[best, to, climb, up, one, of, the, legs, of, the, table,, but, it, was, too, slippery;]","[71.0,16.0]","[0.963384628870272,1.4023978677330722]"
"and when she had tired herself out with trying, the poor little thing","[and, when, she, had, tired, herself, out, with, trying,, the, poor, little, thing]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
sat down and cried.,"[sat, down, and, cried.]","[19.0,4.0]","[-0.8016562966671428,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Come, there’s no use in crying like that!” said Alice to herself,","[“come,, there’s, no, use, in, crying, like, that!”, said, alice, to, herself,]","[66.0,12.0]","[0.7936691552609052,0.6745153932746865]"
rather sharply; “I advise you to leave off this minute!” She generally,"[rather, sharply;, “i, advise, you, to, leave, off, this, minute!”, she, generally]","[70.0,12.0]","[0.9294415341483986,0.6745153932746865]"
"gave herself very good advice, (though she very seldom followed it),","[gave, herself, very, good, advice,, (though, she, very, seldom, followed, it),]","[68.0,11.0]","[0.8615553447046519,0.49254477466009]"
and sometimes she scolded herself so severely as to bring tears into,"[and, sometimes, she, scolded, herself, so, severely, as, to, bring, tears, into]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
her eyes; and once she remembered trying to box her own ears for having,"[her, eyes;, and, once, she, remembered, trying, to, box, her, own, ears, for, having]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"cheated herself in a game of croquet she was playing against herself,","[cheated, herself, in, a, game, of, croquet, she, was, playing, against, herself,]","[69.0,12.0]","[0.8954984394265252,0.6745153932746865]"
for this curious child was very fond of pretending to be two people.,"[for, this, curious, child, was, very, fond, of, pretending, to, be, two, people.]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
"“But it’s no use now,” thought poor Alice, “to pretend to be two","[“but, it’s, no, use, now,”, thought, poor, alice,, “to, pretend, to, be, two]","[64.0,13.0]","[0.7257829658171584,0.8564860118892829]"
"people! Why, there’s hardly enough of me left to make _one_ respectable","[people!, why,, there’s, hardly, enough, of, me, left, to, make, _one_, respectable]","[71.0,12.0]","[0.963384628870272,0.6745153932746865]"
person!”,[person!”],"[8.0,1.0]","[-1.1750303386077496,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
Soon her eye fell on a little glass box that was lying under the table:,"[soon, her, eye, fell, on, a, little, glass, box, that, was, lying, under, the, table:]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
"she opened it, and found in it a very small cake, on which the words","[she, opened, it,, and, found, in, it, a, very, small, cake,, on, which, the, words]","[68.0,15.0]","[0.8615553447046519,1.2204272491184758]"
"“EAT ME” were beautifully marked in currants. “Well, I’ll eat it,” said","[“eat, me”, were, beautifully, marked, in, currants., “well,, i’ll, eat, it,”, said]","[71.0,12.0]","[0.963384628870272,0.6745153932746865]"
"Alice, “and if it makes me grow larger, I can reach the key; and if it","[alice,, “and, if, it, makes, me, grow, larger,, i, can, reach, the, key;, and, if, it]","[70.0,16.0]","[0.9294415341483986,1.4023978677330722]"
"makes me grow smaller, I can creep under the door; so either way I’ll","[makes, me, grow, smaller,, i, can, creep, under, the, door;, so, either, way, i’ll]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
"get into the garden, and I don’t care which happens!”","[get, into, the, garden,, and, i, don’t, care, which, happens!”]","[53.0,10.0]","[0.3524089238765515,0.31057415604549354]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"She ate a little bit, and said anxiously to herself, “Which way? Which","[she, ate, a, little, bit,, and, said, anxiously, to, herself,, “which, way?, which]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"way?”, holding her hand on the top of her head to feel which way it was","[way?”,, holding, her, hand, on, the, top, of, her, head, to, feel, which, way, it, was]","[71.0,16.0]","[0.963384628870272,1.4023978677330722]"
"growing, and she was quite surprised to find that she remained the same","[growing,, and, she, was, quite, surprised, to, find, that, she, remained, the, same]","[71.0,13.0]","[0.963384628870272,0.8564860118892829]"
"size: to be sure, this generally happens when one eats cake, but Alice","[size:, to, be, sure,, this, generally, happens, when, one, eats, cake,, but, alice]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
had got so much into the way of expecting nothing but out-of-the-way,"[had, got, so, much, into, the, way, of, expecting, nothing, but, out-of-the-way]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
"things to happen, that it seemed quite dull and stupid for life to go","[things, to, happen,, that, it, seemed, quite, dull, and, stupid, for, life, to, go]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
on in the common way.,"[on, in, the, common, way.]","[21.0,5.0]","[-0.7337701072233961,-0.5992789370274886]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"So she set to work, and very soon finished off the cake.","[so, she, set, to, work,, and, very, soon, finished, off, the, cake.]","[56.0,12.0]","[0.4542382080421716,0.6745153932746865]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
*      *      *      *      *      *      *,"[*, , , , , , *, , , , , , *, , , , , , *, , , , , , *, , , , , , *, , , , , , *]","[43.0,37.0]","[0.012977976657817879,5.223780858639596]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
*      *      *      *      *      *,"[, , , , *, , , , , , *, , , , , , *, , , , , , *, , , , , , *, , , , , , *]","[40.0,35.0]","[-0.08885130750780221,4.859839621410404]"
